,,,,,,,,
"
",,,,,,,,
Select filter criteria below:,,,,,,,,
Start Date:,03/01/2014 ,Start Time:,12:00 AM ,Building:,All ,,,
 End Date:,03/31/2014 ,End Time:,11:59 PM,Room:,All,,,
,,,,,,,,
,,,,,,,,
Name,Building,Room,Days met,Start Date,End Date,Start Time,End Time,
Teaching English to Speakers of Other La  ,ONLINE ,ONLINE ,R ,12/09/2013 ,03/02/2014 ,04:00 PM ,06:30 PM ,
Teaching English to Speakers of Other La  ,ONLINE ,ONLINE ,T ,12/09/2013 ,03/02/2014 ,04:00 PM ,06:30 PM ,
Teaching Physical Education  ,ONLINE ,ONLINE ,R ,12/09/2013 ,03/02/2014 ,04:00 PM ,06:00 PM ,
Teaching Social Studies in Secondary Cla  ,ONLINE ,ONLINE ,W ,12/09/2013 ,03/02/2014 ,04:00 PM ,07:00 PM ,
Assessment and Curriculum for Students w  ,ONLINE ,ONLINE ,W ,12/09/2013 ,03/02/2014 ,04:30 PM ,06:30 PM ,
Capstone in Teaching English Learners  ,ONLINE ,ONLINE ,W ,12/09/2013 ,03/02/2014 ,04:30 PM ,06:30 PM ,
Guided Practice  ,ONLINE ,ONLINE ,T ,12/09/2013 ,03/02/2014 ,04:30 PM ,07:00 PM ,
Guided Practice  ,ONLINE ,ONLINE ,W ,12/09/2013 ,03/02/2014 ,04:30 PM ,07:00 PM ,
Guided Practice  ,ONLINE ,ONLINE ,W ,12/09/2013 ,03/02/2014 ,04:30 PM ,07:00 PM ,
Guided Practice  ,ONLINE ,ONLINE ,W ,12/09/2013 ,03/02/2014 ,04:30 PM ,07:00 PM ,
Guided Practice: Mild/Moderate Disabilit  ,ONLINE ,ONLINE ,M ,12/09/2013 ,03/02/2014 ,04:30 PM ,07:00 PM ,
Instruction for Teaching English as a Ne  ,ONLINE ,ONLINE ,T ,12/09/2013 ,03/02/2014 ,04:30 PM ,07:00 PM ,
Introduction to Special Education  ,ONLINE ,ONLINE ,T ,12/09/2013 ,03/02/2014 ,04:30 PM ,06:30 PM ,
Teaching Mathematics and Science  ,CANCEL ,CANCEL ,F ,12/09/2013 ,03/02/2014 ,04:30 PM ,07:30 PM ,
Teaching Mathematics in Secondary Classr  ,THH ,109,W ,12/09/2013 ,03/02/2014 ,04:30 PM ,07:30 PM ,
Action Research Project  ,ONLINE ,ONLINE ,T ,12/09/2013 ,03/02/2014 ,05:00 PM ,07:00 PM ,
Capstone in Teaching English Learners  ,ONLINE ,ONLINE ,R ,12/09/2013 ,03/02/2014 ,05:00 PM ,07:00 PM ,
Capstone Portfolio in Learning and Instr  ,ONLINE ,ONLINE ,T ,12/09/2013 ,03/02/2014 ,05:00 PM ,07:00 PM ,
